Timestamp: 2025-10-06 15:08:39 EDT-0400
region                   zone                       status    gpu_type         gpu_available
-----------------------  -------------------------  --------  ---------------  ---------------
africa-south1            africa-south1-a            UP        nvidia-tesla-t4  False
africa-south1            africa-south1-b            UP        nvidia-tesla-t4  False
africa-south1            africa-south1-c            UP        nvidia-tesla-t4  False
asia-east1               asia-east1-a               UP        nvidia-tesla-t4  True
asia-east1               asia-east1-b               UP        nvidia-tesla-t4  False
asia-east1               asia-east1-c               UP        nvidia-tesla-t4  True
asia-east2               asia-east2-a               UP        nvidia-tesla-t4  True
asia-east2               asia-east2-b               UP        nvidia-tesla-t4  False
asia-east2               asia-east2-c               UP        nvidia-tesla-t4  True
asia-northeast1          asia-northeast1-a          UP        nvidia-tesla-t4  True
asia-northeast1          asia-northeast1-b          UP        nvidia-tesla-t4  False
asia-northeast1          asia-northeast1-c          UP        nvidia-tesla-t4  True
asia-northeast2          asia-northeast2-a          UP        nvidia-tesla-t4  False
asia-northeast2          asia-northeast2-b          UP        nvidia-tesla-t4  False
asia-northeast2          asia-northeast2-c          UP        nvidia-tesla-t4  False
asia-northeast3          asia-northeast3-a          UP        nvidia-tesla-t4  False
asia-northeast3          asia-northeast3-b          UP        nvidia-tesla-t4  True
asia-northeast3          asia-northeast3-c          UP        nvidia-tesla-t4  True
asia-south1              asia-south1-a              UP        nvidia-tesla-t4  True
asia-south1              asia-south1-b              UP        nvidia-tesla-t4  True
asia-south1              asia-south1-c              UP        nvidia-tesla-t4  False
asia-south2              asia-south2-a              UP        nvidia-tesla-t4  False
asia-south2              asia-south2-b              UP        nvidia-tesla-t4  False
asia-south2              asia-south2-c              UP        nvidia-tesla-t4  False
asia-southeast1          asia-southeast1-a          UP        nvidia-tesla-t4  True
asia-southeast1          asia-southeast1-b          UP        nvidia-tesla-t4  True
asia-southeast1          asia-southeast1-c          UP        nvidia-tesla-t4  True
asia-southeast2          asia-southeast2-a          UP        nvidia-tesla-t4  True
asia-southeast2          asia-southeast2-b          UP        nvidia-tesla-t4  True
asia-southeast2          asia-southeast2-c          UP        nvidia-tesla-t4  False
australia-southeast1     australia-southeast1-a     UP        nvidia-tesla-t4  True
australia-southeast1     australia-southeast1-b     UP        nvidia-tesla-t4  False
australia-southeast1     australia-southeast1-c     UP        nvidia-tesla-t4  True
australia-southeast2     australia-southeast2-a     UP        nvidia-tesla-t4  False
australia-southeast2     australia-southeast2-b     UP        nvidia-tesla-t4  False
australia-southeast2     australia-southeast2-c     UP        nvidia-tesla-t4  False
europe-central2          europe-central2-a          UP        nvidia-tesla-t4  False
europe-central2          europe-central2-b          UP        nvidia-tesla-t4  True
europe-central2          europe-central2-c          UP        nvidia-tesla-t4  True
europe-north1            europe-north1-a            UP        nvidia-tesla-t4  False
europe-north1            europe-north1-b            UP        nvidia-tesla-t4  False
europe-north1            europe-north1-c            UP        nvidia-tesla-t4  False
europe-north2            europe-north2-a            UP        nvidia-tesla-t4  False
europe-north2            europe-north2-b            UP        nvidia-tesla-t4  False
europe-north2            europe-north2-c            UP        nvidia-tesla-t4  False
europe-southwest1        europe-southwest1-a        UP        nvidia-tesla-t4  False
europe-southwest1        europe-southwest1-b        UP        nvidia-tesla-t4  False
europe-southwest1        europe-southwest1-c        UP        nvidia-tesla-t4  False
europe-west1             europe-west1-b             UP        nvidia-tesla-t4  True
europe-west1             europe-west1-c             UP        nvidia-tesla-t4  True
europe-west1             europe-west1-d             UP        nvidia-tesla-t4  True
europe-west10            europe-west10-a            UP        nvidia-tesla-t4  False
europe-west10            europe-west10-b            UP        nvidia-tesla-t4  False
europe-west10            europe-west10-c            UP        nvidia-tesla-t4  False
europe-west12            europe-west12-a            UP        nvidia-tesla-t4  False
europe-west12            europe-west12-b            UP        nvidia-tesla-t4  False
europe-west12            europe-west12-c            UP        nvidia-tesla-t4  False
europe-west2             europe-west2-a             UP        nvidia-tesla-t4  True
europe-west2             europe-west2-b             UP        nvidia-tesla-t4  True
europe-west2             europe-west2-c             UP        nvidia-tesla-t4  False
europe-west3             europe-west3-a             UP        nvidia-tesla-t4  False
europe-west3             europe-west3-b             UP        nvidia-tesla-t4  True
europe-west3             europe-west3-c             UP        nvidia-tesla-t4  False
europe-west4             europe-west4-a             UP        nvidia-tesla-t4  True
europe-west4             europe-west4-b             UP        nvidia-tesla-t4  True
europe-west4             europe-west4-c             UP        nvidia-tesla-t4  True
europe-west6             europe-west6-a             UP        nvidia-tesla-t4  False
europe-west6             europe-west6-b             UP        nvidia-tesla-t4  False
europe-west6             europe-west6-c             UP        nvidia-tesla-t4  False
europe-west8             europe-west8-a             UP        nvidia-tesla-t4  False
europe-west8             europe-west8-b             UP        nvidia-tesla-t4  False
europe-west8             europe-west8-c             UP        nvidia-tesla-t4  False
europe-west9             europe-west9-a             UP        nvidia-tesla-t4  False
europe-west9             europe-west9-b             UP        nvidia-tesla-t4  False
europe-west9             europe-west9-c             UP        nvidia-tesla-t4  False
me-central1              me-central1-a              UP        nvidia-tesla-t4  False
me-central1              me-central1-b              UP        nvidia-tesla-t4  False
me-central1              me-central1-c              UP        nvidia-tesla-t4  False
me-central2              me-central2-a              UP        nvidia-tesla-t4  False
me-central2              me-central2-b              UP        nvidia-tesla-t4  False
me-central2              me-central2-c              UP        nvidia-tesla-t4  False
me-west1                 me-west1-a                 UP        nvidia-tesla-t4  False
me-west1                 me-west1-b                 UP        nvidia-tesla-t4  True
me-west1                 me-west1-c                 UP        nvidia-tesla-t4  True
northamerica-northeast1  northamerica-northeast1-a  UP        nvidia-tesla-t4  False
northamerica-northeast1  northamerica-northeast1-b  UP        nvidia-tesla-t4  False
northamerica-northeast1  northamerica-northeast1-c  UP        nvidia-tesla-t4  True
northamerica-northeast2  northamerica-northeast2-a  UP        nvidia-tesla-t4  False
northamerica-northeast2  northamerica-northeast2-b  UP        nvidia-tesla-t4  False
northamerica-northeast2  northamerica-northeast2-c  UP        nvidia-tesla-t4  False
northamerica-south1      northamerica-south1-a      UP        nvidia-tesla-t4  False
northamerica-south1      northamerica-south1-b      UP        nvidia-tesla-t4  False
northamerica-south1      northamerica-south1-c      UP        nvidia-tesla-t4  False
southamerica-east1       southamerica-east1-a       UP        nvidia-tesla-t4  True
southamerica-east1       southamerica-east1-b       UP        nvidia-tesla-t4  False
southamerica-east1       southamerica-east1-c       UP        nvidia-tesla-t4  True
southamerica-west1       southamerica-west1-a       UP        nvidia-tesla-t4  False
southamerica-west1       southamerica-west1-b       UP        nvidia-tesla-t4  False
southamerica-west1       southamerica-west1-c       UP        nvidia-tesla-t4  False
us-central1              us-central1-a              UP        nvidia-tesla-t4  True
us-central1              us-central1-b              UP        nvidia-tesla-t4  True
us-central1              us-central1-c              UP        nvidia-tesla-t4  True
us-central1              us-central1-f              UP        nvidia-tesla-t4  True
us-east1                 us-east1-b                 UP        nvidia-tesla-t4  False
us-east1                 us-east1-c                 UP        nvidia-tesla-t4  True
us-east1                 us-east1-d                 UP        nvidia-tesla-t4  True
us-east4                 us-east4-a                 UP        nvidia-tesla-t4  True
us-east4                 us-east4-b                 UP        nvidia-tesla-t4  True
us-east4                 us-east4-c                 UP        nvidia-tesla-t4  True
us-east5                 us-east5-a                 UP        nvidia-tesla-t4  False
us-east5                 us-east5-b                 UP        nvidia-tesla-t4  False
us-east5                 us-east5-c                 UP        nvidia-tesla-t4  False
us-south1                us-south1-a                UP        nvidia-tesla-t4  False
us-south1                us-south1-b                UP        nvidia-tesla-t4  False
us-south1                us-south1-c                UP        nvidia-tesla-t4  False
us-west1                 us-west1-a                 UP        nvidia-tesla-t4  True
us-west1                 us-west1-b                 UP        nvidia-tesla-t4  True
us-west1                 us-west1-c                 UP        nvidia-tesla-t4  False
us-west2                 us-west2-a                 UP        nvidia-tesla-t4  False
us-west2                 us-west2-b                 UP        nvidia-tesla-t4  True
us-west2                 us-west2-c                 UP        nvidia-tesla-t4  True
us-west3                 us-west3-a                 UP        nvidia-tesla-t4  False
us-west3                 us-west3-b                 UP        nvidia-tesla-t4  True
us-west3                 us-west3-c                 UP        nvidia-tesla-t4  False
us-west4                 us-west4-a                 UP        nvidia-tesla-t4  True
us-west4                 us-west4-b                 UP        nvidia-tesla-t4  True
us-west4                 us-west4-c                 UP        nvidia-tesla-t4  False
